WA0NGMCP37723,MW0NGMCP37723,P1691:LangBo:rdo rje snying po sprin gyi thol glu las ri chos rin po che gnad gyi 'phreng ba/
WA0NGMCP37724,MW0NGMCP37724,P1691:LangBo:rdo rje snying po sprin gyi thol glu las phag mo'i las byang bde chen padma'i gru rdzings/
WA0NGMCP37725,MW0NGMCP37725,phyag rgya chen po'i dngos gzhi'i bda' thabs ngo sprod/
WA0NGMCP37726,MW0NGMCP37726,LangBo:dpal rta mchog rol pa'i bsgrub thabs dbang chog yid bzhin bsam 'phel/
WA0NGMCP37727,MW0NGMCP37727,P1853:LangBo:lam blo nas bcod pa bar do ngo sprod kyi gdams pa rje mi las mdzad pa/
WA0NGMCP37728,MW0NGMCP37728,LangBo:drwa mig chen mo na mi bzhugs pa'i bskang so'i dbyangs gdangs kyis drwa mig nyer 'kho kha yar gdan sa ras chung phug gi phyag bzhed ltar/
WA0NGMCP37729,MW0NGMCP37729,P442:LangBo:bde mchog mkha' 'gro snyan brgyud kyi gdams pa yid bzhin nor bu skor gsum/
WA0NGMCP37730,MW0NGMCP37730,LangBo:zab lam ting 'dzin gyi dbang bskur bzhugs so | dge lags nam mkha'i dang mnyam par gyur cig
WA0NGMCP37731,MW0NGMCP37731,LangBo:lha khrid rtsa tshig
WA0NGMCP37732,MW0NGMCP37732,LangBo:'khrul 'khor yon tan kun rdzogs kyi khrid yig
WA0NGMCP37733,MW0NGMCP37733,P1691:LangBo:rdo rje snying po sprin gyi thol glu las khrid yig padma stong ldan/
WA0NGMCP37734,MW0NGMCP37734,LangBo:'od gsal rdo rje snying po sprin gyi thol glu las spros med brda'i dbang smin grol nor bu'i bang mdzod/
WA0NGMCP37735,MW0NGMCP37735,P4441:LangBo:dpal rdo rje phur pa'i yang gsang spu gri 'bar ba'i dkyil 'khor du bdag 'jug byang ba'i cho ga skal ldan smin byed bum bzang /
WA0NGMCP37736,MW0NGMCP37736,LangBo:rdzun ris chu zla'i zlos gar zhes bya ba rmi lam nyin 'khrul gyi bskod pa'i yi ge sna tshogs rang grol gyi rnam thar kha skong lags so/
